6443
ABCE1	216.865	109.532	131.252	149.393	358.866	274.69	366.354	138.792	123.558	130.977	251.086	243.918	234.847	230.926	61.44	55.289	38.234	74.081	60.816	88.743	69.969	64.685	73.484	76.207	84.592	171.535	156.967	169.897
ABCF3	46.32	57.992	63.119	48.93	39.186	50.796	43.296	44.891	42.54	47.215	8.526	10.222	10.224	9.621	26.182	24.123	24.75	21.559	20.199	22.558	21.203	23.329	23.119	21.318	34.011	16.533	17.882	17.441
ABHD10	67.87	61.336	58.392	53.463	6.179	5.471	6.024	7.23	6.95	7.566	20.65	19.488	16.337	16.65	6.691	5.947	13.481	18.143	19.206	21.857	17.248	17.612	18.194	19.005	17.703	20.147	20.443	21.474
ABHD11	4.597	7.363	7.671	5.578	30.796	33.915	30.009	19.254	19.399	20.34	4.494	5.421	6.284	4.177	42.871	41.516	27.599	57.754	64.932	66.495	64.551	7.053	6.417	6.271	21.982	22.056	26.431	22.378
ABHD12	14.766	11.683	12.935	8.669	35.876	39.115	39.497	23.193	24.877	24.905	8.327	7.023	8.576	7.295	100.498	66.284	159.992	33.157	34.178	34.466	31.422	23.972	24.841	22.873	18.179	59.26	60.467	62.272
ABHD13	10.943	10.004	9.814	11.123	26.115	18.772	22.787	7.476	7.363	7.299	19.905	17.441	17.331	17.865	10.733	11.566	12.688	14.642	13.273	15.01	12.92	3.487	3.871	4.209	3.236	33.765	27.976	28.183
ABHD14B	44.107	48.534	51.603	48.523	2.121	1.3	1.638	40.745	45.711	40.273	16.015	15.851	15.97	15.815	57.214	25.09	44.956	42.424	38.765	48.243	37.276	26.249	23.153	22.932	8.526	32.747	34.345	34.303
ABHD17A	2.052	1.831	1.588	2.006	63.618	69.061	60.961	74.64	95.054	62.45	41.821	44.466	52.394	44.498	106.188	116.129	104.044	116.8	118.909	120.304	112.011	170.389	166.797	139.672	198.468	163.902	185.578	174.919
ABHD17B	7.957	5.404	6.188	6.517	65.226	41.177	58.61	11.615	10.261	12.325	20.434	18.447	20.414	19.509	14.207	11.944	9.288	28.526	28.834	28.414	25.697	8.025	9.459	9.735	26.513	14.533	13.588	14.95
ABHD17C	18.984	20.114	15.023	18.083	107.848	84.181	97.838	46.721	50.99	43.519	14.37	11.999	16.77	12.182	82.932	74.88	45.74	50.657	48.244	48.011	43.117	28.698	31.345	28.533	64.422	19.595	19.697	19.061
ABHD18	8.397	4.256	3.972	6.568	2.98	2.171	3.187	17.918	17.094	18.709	20.007	15.961	14.865	14.603	8.282	11.516	11.664	2.524	2.861	2.976	2.916	8.855	11.819	11.797	12.909	13.885	14.122	13.244
ABHD2	40.26	26.27	28.417	25.904	28.381	27.919	27.5	21.182	19.548	20.41	14.945	14.506	14.931	13.299	126.741	95.61	121.72	13.652	11.742	15.765	10.738	16.039	17.92	16.85	33.929	58.755	59.243	56.925
ABHD4	64.782	97.54	76.695	106.599	72.492	64.891	62.921	28.979	29.791	30.262	30.162	28.154	31.531	28.773	52.03	44.99	42.213	53.335	50.081	51.854	42.306	27.65	26.347	27.22	38.322	16.75	17.791	16.527
ABHD5	28.317	26.585	27.385	41.82	56.038	56.208	61.323	41.921	38.847	40.626	23.547	22.458	21.464	20.743	26.635	15.982	13.485	1.933	1.986	2.24	1.926	5.903	6.374	6.279	6.627	67.746	61.123	60.855
ABI1	79.142	46.531	44.151	52.877	115.785	94.894	115.168	95.371	86.509	93.84	131.787	139.396	130.47	125.495	112.042	82.078	65.755	61.509	54.962	70.691	56.324	34.807	36.767	39.07	28.583	95.539	81.53	87.209
ABI2	35.231	36.283	30.271	38.128	1.648	2.34	2.532	20.576	16.467	19.205	25.24	26.674	24.97	23.186	1.592	1.325	1.633	4.25	3.397	3.22	2.834	6.116	6.555	6.372	3.583	40.033	36.608	37.7
ABL1	45.072	54.67	41.82	67.558	52.817	67.755	58.618	24.199	23.834	22.136	17.407	14.898	19.457	17.367	101.735	101.239	75.211	77.948	41.511	116.063	57.287	84.703	89.243	88.376	34.549	83.355	89.984	84.048
ABL2	51.617	26.087	36.241	29.2	42.935	41.47	41.527	16.822	14.092	13.756	3.921	2.77	3.426	3.294	14.814	26.709	15.319	19.616	13.211	26.372	14.987	3.602	4.028	4.047	23.941	7.808	7.677	7.847
ABRACL	32.859	28.592	18.335	15.735	131.748	140.898	120.438	40.005	38.539	42.857	712.927	668.49	665.839	783.906	50.436	53.583	42.331	25.119	27.092	27.16	31.708	87.509	88.242	91.211	25.637	98.708	86.031	89.786
ABRAXAS1	20.992	14.429	14.205	24.994	12.271	12.386	10.24	3.259	2.259	3.271	21.72	18.451	19.16	19.035	6.204	8.1	7.58	32.898	26.462	36.09	28.662	3.586	5.718	6.319	9.797	4.46	4.364	4.294
ABRAXAS2	49.93	38.163	43.757	39.973	27.859	21.856	27.443	24.451	22.483	24.798	25.704	27.6	25.595	25.445	14.206	12.509	12.403	24.714	21.112	26.88	24.46	13.411	14.158	16.816	11.209	18.242	18.131	17.031
ABTB1	4.358	8.977	4.889	6.182	6.314	6.436	6.224	11.226	13.792	11.326	3.891	5.096	5.489	5.181	7.014	4.615	6.63	15.576	13.714	16.809	12.028	30.331	28.157	28.351	17.332	5.807	6.658	6.456
ACAA2	366.398	403.996	415.355	316.216	112.627	114.413	113.722	152.059	153.825	160.894	35.514	30.975	33.313	29.01	13.766	24.629	20.925	87.337	93.193	83.766	90.703	73.361	72.368	75.167	31.939	136.326	131.299	127.605
ACAD8	21.485	23.519	20.265	21.283	21.021	19.837	20.352	20.397	20.307	21.622	16.842	15.165	13.716	14.856	26.102	18.595	36.009	9.57	7.949	11.106	10.248	12.047	11.105	12.898	12.044	35.278	35.915	38.28
ACADM	136.433	94.994	95.041	95.419	72.811	81.713	74.117	91.149	80.94	93.895	87.422	76.273	70.377	62.676	112.272	101.275	84.299	27.905	29.405	26.877	28.406	20.205	21.866	22.076	46.046	22.396	19.95	18.441
ACADS	1.315	1.654	1.665	1.918	51.22	35.585	40.587	16.274	19.813	19.144	40.268	40.68	39.775	36.928	53.432	46.551	47.146	42.696	41.176	49.178	42.554	17.414	16.375	17.997	25.968	39.182	45.85	43.163
ACADSB	13.398	19.0	11.464	13.523	40.953	34.324	33.985	72.784	59.425	68.856	48.531	49.569	44.502	42.895	9.78	8.83	7.233	4.099	3.813	4.705	3.615	17.076	18.012	19.881	55.292	24.442	27.861	27.511
